iter	Passed	Remaining
400	30267	724540
401	30341	724417
402	30416	724325
403	30490	724235
404	30571	724281
405	30654	724390
406	30729	724292
407	30812	724388
408	30891	724405
409	30966	724324
410	31041	724218
411	31116	724133
412	31192	724074
413	31267	723976
414	31350	724092
415	31428	724056
416	31503	723975
417	31579	723911
418	31659	723932
419	31732	723799
420	31806	723697
421	31880	723591
422	31956	723526
423	32029	723381
424	32102	723257
425	32178	723184
426	32255	723150
427	32331	723083
428	32405	722973
429	32479	722858
430	32555	722794
431	32636	722830
432	32712	722766
433	32786	722664
434	32862	722599
435	32938	722522
436	33015	722480
437	33090	722392
438	33165	722319
439	33241	722240
440	33317	722182
441	33392	722099
442	33466	721989
443	33544	721959
444	33618	721863
445	33694	721790
446	33771	721732
447	33846	721660
448	33921	721573
449	33996	721487
450	34073	721438
451	34146	721306
452	34221	721226
453	34299	721193
454	34377	721162
455	34455	721148
456	34530	721068
457	34606	721000
458	34694	721174
459	34768	721061
460	34842	720957
461	34915	720838
462	34990	720750
463	35067	720696
464	35144	720644
465	35220	720579
466	35295	720497
467	35375	720506
468	35448	720390
469	35530	720437
470	35606	720379
471	35691	720489
472	35769	720448
473	35843	720353
474	35920	720310
475	35994	720200
476	36068	720086
477	36142	719980
478	36215	719843
479	36291	719786
480	36372	719813
481	36448	719741
482	36522	719637
483	36597	719547
484	36671	719437
485	36751	719453
486	36826	719356
487	36902	719290
488	36980	719269
489	37054	719163
490	37129	719063
491	37207	719049
492	37280	718921
493	37358	718890
494	37433	718790
495	37507	718687
496	37582	718607
497	37661	718596
498	37747	718712
499	37823	718652
500	37901	718613
501	37979	718586
502	38055	718506
503	38131	718438
504	38204	718312
505	38280	718246
506	38355	718171
507	38432	718106
508	38506	718004
509	38579	717881
510	38653	717767
511	38730	717723
512	38811	717756
513	38885	717639
514	38963	717602
515	39038	717523
516	39115	717464
517	39188	717337
518	39262	717246
519	39337	717156
520	39412	717066
521	39484	716918
522	39562	716898
523	39638	716825
524	39714	716757
525	39797	716813
526	39876	716785
527	39954	716764
528	40035	716775
529	40108	716663
530	40181	716538
531	40259	716497
532	40332	716370
533	40408	716309
534	40484	716229
535	40560	716170
536	40634	716054
537	40714	716054
538	40796	716103
539	40872	716034
540	40947	715938
541	41023	715860
542	41098	715777
543	41172	715681
544	41247	715578
545	41325	715552
546	41400	715461
547	41478	715429
548	41554	715359
549	41641	715469
550	41714	715352
551	41789	715270
552	41877	715396
553	41957	715390
554	42030	715278
555	42109	715255
556	42184	715162
557	42268	715233
558	42344	715159
559	42418	715058
560	42492	714949
561	42570	714905
562	42645	714823
563	42722	714776
564	42805	714811
565	42891	714902
566	42968	714854
567	43042	714745
568	43118	714676
569	43191	714554
570	43265	714456
571	43343	714403
572	43417	714299
573	43492	714211
574	43574	714245
575	43651	714188
576	43726	714091
577	43800	713993
578	43888	714116
579	43963	714032
580	44040	713978
581	44134	714196
582	44212	714141
583	44288	714074
584	44362	713965
585	44436	713868
586	44512	713797
587	44589	713741
588	44669	713718
589	44743	713626
590	44819	713550
591	44899	713533
592	44974	713441
593	45048	713345
594	45123	713253
595	45197	713143
596	45271	713051
597	45346	712950
598	45421	712874
599	45496	712779
600	45575	712745
601	45653	712709
602	45733	712705
603	45809	712623
604	45899	712774
605	45977	712723
606	46053	712657
607	46129	712577
608	46211	712598
609	46292	712602
610	46372	712595
611	46448	712511
612	46522	712414
613	46597	712323
614	46675	712277
615	46752	712209
616	46829	712153
617	46909	712144
618	46989	712123
619	47063	712023
620	47142	711997
621	47218	711924
622	47296	711877
623	47370	711770
624	47446	711692
625	47520	711597
626	47595	711496
627	47672	711437
628	47745	711327
629	47829	711368
630	47908	711344
631	47988	711318
632	48063	711229
633	48137	711131
634	48213	711059
635	48286	710941
636	48362	710854
637	48435	710735
638	48511	710670
639	48585	710567
640	48660	710470
641	48735	710381
642	48816	710388
643	48891	710289
644	48968	710239
645	49043	710146
646	49119	710067
647	49193	709959
648	49268	709882
649	49343	709783
650	49418	709700
651	49492	709597
652	49568	709522
653	49643	709433
654	49716	709319
655	49792	709236
656	49866	709141
657	49942	709057
658	50022	709041
659	50098	708965
660	50176	708919
661	50252	708844
662	50327	708764
663	50403	708686
664	50477	708586
665	50553	708508
666	50629	708435
667	50704	708351
668	50781	708277
669	50859	708231
670	50934	708147
671	51026	708289
672	51101	708201
673	51176	708122
674	51260	708151
675	51335	708070
676	51414	708027
677	51488	707929
678	51561	707815
679	51634	707695
680	51709	707604
681	51785	707526
682	51860	707441
683	51935	707353
684	52019	707392
685	52098	707355
686	52192	707518
687	52267	707437
688	52349	707438
689	52428	707401
690	52503	707316
691	52579	707234
692	52655	707160
693	52730	707068
694	52804	706967
695	52877	706856
696	52952	706767
697	53041	706866
698	53117	706790
699	53191	706683
700	53268	706628
701	53343	706535
702	53419	706465
703	53492	706349
704	53570	706292
705	53643	706178
706	53717	706071
707	53790	705967
708	53864	705866
709	53938	705756
710	54014	705684
711	54096	705692
712	54169	705572
713	54244	705481
714	54318	705379
715	54394	705310
716	54470	705225
717	54543	705119
718	54617	705012
719	54691	704916
720	54765	704816
721	54840	704726
722	54914	704622
723	54986	704501
724	55070	704525
725	55146	704443
726	55218	704323
727	55292	704222
728	55366	704118
729	55441	704026
730	55517	703958
731	55594	703887
732	55672	703838
733	55746	703747
734	55831	703784
735	55904	703671
736	55979	703578
737	56054	703488
738	56137	703506
739	56216	703468
740	56290	703363
741	56367	703300
742	56440	703185
743	56517	703131
744	56593	703054
745	56666	702940
746	56745	702894
747	56819	702795
748	56893	702693
749	56967	702604
750	57043	702525
751	57125	702517
752	57202	702456
753	57276	702352
754	57354	702304
755	57427	702196
756	57504	702133
757	57577	702023
758	57653	701949
759	57729	701875
760	57804	701784
761	57879	701699
762	57954	701604
763	58031	701540
764	58105	701449
765	58184	701399
766	58258	701308
767	58332	701201
768	58407	701118
769	58484	701060
770	58561	700986
771	58636	700903
772	58711	700819
773	58788	700751
774	58864	700672
775	58943	700638
776	59018	700554
777	59093	700466
778	59176	700471
779	59252	700397
780	59340	700465
781	59414	700362
782	59489	700272
783	59564	700189
784	59640	700110
785	59721	700088
786	59797	700012
787	59871	699917
788	59944	699807
789	60023	699773
790	60098	699681
791	60185	699726
792	60260	699647
793	60336	699574
794	60412	699490
795	60491	699452
796	60570	699409
797	60648	699352
798	60723	699267
799	60798	699186
800	60872	699086
801	60947	698993
802	61024	698928
803	61101	698870
804	61185	698884
805	61261	698809
806	61336	698722
807	61412	698640
808	61488	698568
809	61564	698493
810	61640	698411
811	61715	698323
812	61791	698248
813	61869	698192
814	61943	698104
815	62019	698022
816	62097	697965
817	62173	697896
818	62260	697944
819	62335	697850
820	62411	697781
821	62487	697700
822	62565	697643
823	62644	697601
824	62721	697535
825	62800	697500
826	62875	697411
827	62953	697354
828	63028	697271
829	63102	697173
830	63178	697090
831	63258	697057
832	63332	696966
833	63408	696880
834	63484	696804
835	63557	696700
836	63633	696619
837	63708	696532
838	63784	696455
839	63871	696499
840	63945	696404
841	64024	696363
842	64101	696291
843	64178	696231
844	64262	696241
845	64336	696142
846	64414	696082
847	64491	696018
848	64568	695950
849	64645	695887
850	64723	695839
851	64799	695753
852	64875	695682
853	64951	695605
854	65026	695519
855	65108	695506
856	65182	695404
857	65269	695443
858	65346	695380
859	65422	695299
860	65495	695193
861	65569	695096
862	65644	695007
863	65720	694932
864	65794	694833
865	65870	694753
866	65945	694673
867	66020	694579
868	66096	694507
869	66182	694532
870	66256	694439
871	66341	694456
872	66414	694342
873	66491	694280
874	66569	694226
875	66646	694155
876	66732	694188
877	66806	694086
878	66880	693988
879	66957	693919
880	67032	693840
881	67110	693775
882	67191	693755
883	67275	693755
884	67360	693771
885	67437	693706
886	67512	693617
887	67587	693528
888	67664	693463
889	67740	693393
890	67816	693307
891	67890	693215
892	67965	693123
893	68041	693044
894	68117	692972
895	68191	692879
896	68267	692794
897	68351	692797
898	68427	692718
899	68504	692658
900	68581	692584
901	68657	692508
902	68732	692428
903	68807	692337
904	68882	692252
905	68957	692162
906	69030	692058
907	69104	691960
908	69180	691884
909	69256	691803
910	69338	691785
911	69415	691719
912	69487	691605
913	69560	691499
914	69641	691464
915	69715	691375
916	69794	691327
917	69872	691268
918	69946	691166
919	70021	691077
920	70095	690987
921	70172	690919
922	70247	690828
923	70321	690730
924	70408	690766
925	70485	690694
926	70560	690609
927	70636	690536
928	70712	690452
929	70787	690369
930	70864	690301
931	70939	690212
932	71014	690127
933	71100	690143
934	71172	690034
935	71249	689965
936	71325	689890
937	71400	689803
938	71496	689914
939	71573	689844
940	71649	689770
941	71725	689695
