iter	Logloss
0	0.6892090646
1	0.6854722297
2	0.6817858265
3	0.6780099452
4	0.6743924146
5	0.6707865497
6	0.6671659723
7	0.6636068911
8	0.660103413
9	0.6566373377
10	0.6532030929
11	0.6497602691
12	0.6464127765
13	0.6429011603
14	0.6396144021
15	0.636265346
16	0.6330456563
17	0.6298615655
18	0.6265858317
19	0.6232332477
20	0.6200895262
21	0.6170275057
22	0.6138225286
23	0.6108204007
24	0.6077914133
25	0.604784154
26	0.6018565912
27	0.5988887392
28	0.5960059556
29	0.5931626193
30	0.5903216883
31	0.5875252158
32	0.5845803347
33	0.5816991947
34	0.5789826993
35	0.5762814777
36	0.5734825999
37	0.5708449591
38	0.5680936666
39	0.5653515946
40	0.5627847906
41	0.5601992252
42	0.5575386135
43	0.55483202
44	0.5523081111
45	0.5497912978
46	0.547384849
47	0.5449787209
48	0.5426255901
49	0.5402528158
50	0.537786314
51	0.5354589202
52	0.5331596688
53	0.5307754692
54	0.5285351883
55	0.5263390853
56	0.5240528627
57	0.5218938818
58	0.5197009859
59	0.5175321031
60	0.5154077189
61	0.5133115571
62	0.5110566438
63	0.5089695422
64	0.5068195412
65	0.5046860969
66	0.5026770481
67	0.5006458301
68	0.4986048706
69	0.4965093102
70	0.494589058
71	0.4926863647
72	0.4907710033
73	0.4889209866
74	0.4870331662
75	0.4851039342
76	0.4832960909
77	0.481427473
78	0.4796525827
79	0.4779160974
80	0.476057622
81	0.4743439873
82	0.4725159794
83	0.4708338144
84	0.4691810746
85	0.4675262501
86	0.4658372701
87	0.4642194876
88	0.4625143919
89	0.4609108009
90	0.4591727521
91	0.4576107332
92	0.4560789813
93	0.4544949135
94	0.452979157
95	0.4514349375
96	0.4499381029
97	0.4484314065
98	0.4469756629
99	0.4454257107
100	0.4438411218
101	0.4422193706
102	0.4407075027
103	0.4392823067
104	0.4378873377
105	0.43653362
106	0.4351661519
107	0.4338220956
108	0.4324951974
109	0.4311382325
110	0.4297128361
111	0.4283772386
112	0.4270939569
113	0.4257592413
114	0.4243783033
115	0.4231201573
116	0.4218157087
117	0.4205586451
118	0.4193200623
119	0.4180803171
120	0.4168120286
121	0.4155634236
122	0.4142868368
123	0.4131080264
124	0.4118674393
125	0.4106557561
126	0.4094207012
127	0.40830022
128	0.4070742653
129	0.4059810845
130	0.4048670576
131	0.4037644159
132	0.4025988749
133	0.401493868
134	0.4004289499
135	0.399385399
136	0.3983813356
137	0.3973538203
138	0.3963402158
139	0.3953706287
140	0.3943754249
141	0.3933540031
142	0.3923375122
143	0.3913476001
144	0.3903873137
145	0.3894238602
146	0.3884517075
147	0.3874639602
148	0.3865586354
149	0.3856822548
150	0.3848129298
151	0.3838601399
152	0.3829938616
153	0.3821349196
154	0.3812643919
155	0.3803369782
156	0.3793950925
157	0.3784538081
158	0.3776388435
159	0.3768166227
160	0.3760115199
161	0.3751976777
162	0.3743780628
163	0.3735556416
164	0.3727043966
165	0.3719050265
166	0.3711202487
167	0.3703707891
168	0.3695901003
169	0.3688501818
170	0.3680199434
171	0.36730945
172	0.3665880526
173	0.3658709045
174	0.3651850658
175	0.3644690803
176	0.3636844629
177	0.3630029537
178	0.3623068924
179	0.3615140166
180	0.3608538748
181	0.3601895237
182	0.3594887719
183	0.3587800826
184	0.3580610504
185	0.3573906058
186	0.3567730783
187	0.3561561923
188	0.3554578459
189	0.3548010314
190	0.3541729205
191	0.3534530464
192	0.3528499108
193	0.3521712881
194	0.3515540814
195	0.3509267322
196	0.3502695168
197	0.3496672632
198	0.3490756331
199	0.3485091787
200	0.347916386
201	0.3472947294
202	0.3467308408
203	0.3461888406
204	0.3455812551
205	0.3450020926
206	0.3444545201
207	0.3438171086
208	0.3432787164
209	0.3427595668
210	0.3421711839
211	0.3416169967
212	0.3411339671
213	0.3406043944
214	0.3400844029
215	0.3396050614
216	0.3390831056
217	0.3385861652
218	0.3380923517
219	0.3375409306
220	0.3370243467
221	0.3365753124
222	0.3360562429
223	0.3355638125
224	0.3350810435
225	0.3345671455
226	0.334047615
227	0.3336105272
228	0.3331541967
229	0.3327165475
230	0.3322792391
231	0.3318424519
232	0.331399471
233	0.3308681344
234	0.3304247325
235	0.3299850589
236	0.3295737281
237	0.3291542391
238	0.3287286968
239	0.3283361877
240	0.3278637014
241	0.3273642955
242	0.3269397153
243	0.3265546426
244	0.3261794117
245	0.3257901497
246	0.3253942731
247	0.324983764
248	0.3246258114
249	0.3242591996
250	0.3238202275
251	0.3234275179
252	0.3230836965
253	0.3226859157
254	0.3222716784
255	0.3219378592
256	0.3215035976
257	0.3211256807
258	0.3207138087
259	0.32033058
260	0.3199547678
261	0.3196042717
262	0.3192980937
263	0.3189135021
264	0.3186048185
265	0.3182619593
266	0.3179176569
267	0.3175418647
268	0.3172239006
269	0.3168351999
270	0.3164891736
271	0.3161337265
272	0.3158279494
273	0.3155336577
274	0.3152324708
275	0.3148955447
276	0.3145897074
277	0.3142414763
278	0.3139206058
279	0.3136229667
280	0.313293878
281	0.3129224555
282	0.3125720796
283	0.3122598683
284	0.3119105748
285	0.3116621847
286	0.3114082825
287	0.3111648234
288	0.310834532
289	0.3105606254
290	0.3102817279
291	0.3100268835
292	0.3097901593
293	0.3095233685
294	0.3092542125
295	0.3090072256
296	0.3087365663
297	0.3084282435
298	0.3081318472
299	0.3078568382
300	0.3075666356
301	0.3072655889
302	0.3069829831
303	0.3067063305
304	0.3064267915
305	0.3061661343
306	0.3059245193
307	0.3056901402
308	0.3054136279
309	0.3051504451
310	0.3049073869
311	0.304666734
312	0.3043981192
313	0.3041342749
314	0.3039059293
315	0.3036785257
316	0.3034661755
317	0.3031998858
318	0.3029776136
319	0.3027628781
320	0.3025479221
321	0.3023305608
322	0.3021196337
323	0.301905279
324	0.3016982807
325	0.3014494096
326	0.3012641994
327	0.301046317
328	0.3008382362
329	0.3006150419
330	0.3003491732
331	0.3001635021
